OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,422,422,422,422,422,422,422,422,422,422
?,887,887,887,887,887,887,887,887,887,887
?,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
?,731,731,731,731,731,731,731,731,731,731
?,1077,1077,1077,1077,1077,1077,1077,1077,1077,1077
?,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309
?,420,420,420,420,420,420,420,420,420,420
?,519,519,519,519,519,519,519,519,519,519
?,2140,2140,2140,2140,2140,2140,2140,2140,2140,2140
?,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406
?,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
?,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
?,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358
?,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426
?,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
?,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,858,858,858,858,858,858,858,858,858,858
?,689,689,689,689,689,689,689,689,689,689
?,11,11,11,11,11,11,11,11,11,11
?,950,950,950,950,950,950,950,950,950,950
?,887,887,887,887,887,887,887,887,887,887
?,375,375,375,375,375,375,375,375,375,375
?,601,601,601,601,601,601,601,601,601,601
?,588,588,588,588,588,588,588,588,588,588
?,676,676,676,676,676,676,676,676,676,676
?,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948
?,2,2,2,2,2,2,2,2,2,2
?,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325
?,319,319,319,319,319,319,319,319,319,319
?,214,214,214,214,214,214,214,214,214,214
?,562,562,562,562,562,562,562,562,562,562
?,2096,2096,2096,2096,2096,2096,2096,2096,2096,2096
?,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801
?,1743,1743,1743,1743,1743,1743,1743,1743,1743,1743
?,1933,1933,1933,1933,1933,1933,1933,1933,1933,1933
?,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
?,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
?,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
?,481,481,481,481,481,481,481,481,481,481
?,987,987,987,987,987,987,987,987,987,987
?,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
?,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
?,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
?,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
?,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944
?,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
?,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
?,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139
?,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299
?,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174
?,321,321,321,321,321,321,321,321,321,321
?,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480
?,877,877,877,877,877,877,877,877,877,877
?,681,681,681,681,681,681,681,681,681,681
?,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
?,586,586,586,586,586,586,586,586,586,586
?,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791
?,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
?,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
?,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
?,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027
?,493,493,493,493,493,493,493,493,493,493
?,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286
?,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
?,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
?,730,730,730,730,730,730,730,730,730,730
?,104,104,104,104,104,104,104,104,104,104
?,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
?,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
?,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,876,876,876,876,876,876,876,876,876,876
?,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293
?,783,783,783,783,783,783,783,783,783,783
?,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
?,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
?,734,734,734,734,734,734,734,734,734,734
?,44,44,44,44,44,44,44,44,44,44
?,803,803,803,803,803,803,803,803,803,803
?,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
?,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
?,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155
?,799,799,799,799,799,799,799,799,799,799
?,23,23,23,23,23,23,23,23,23,23
?,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402
?,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
?,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346
?,386,386,386,386,386,386,386,386,386,386
?,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511
?,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
?,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060
?,54,54,54,54,54,54,54,54,54,54
?,2486,2486,2486,2486,2486,2486,2486,2486,2486,2486
?,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
?,138,138,138,138,138,138,138,138,138,138
?,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
?,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
?,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
?,180,180,180,180,180,180,180,180,180,180
?,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
?,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124
?,235,235,235,235,235,235,235,235,235,235
?,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344
?,125,125,125,125,125,125,125,125,125,125
?,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
?,2489,2489,2489,2489,2489,2489,2489,2489,2489,2489
?,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
?,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
?,712,712,712,712,712,712,712,712,712,712
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,2235,2235,2235,2235,2235,2235,2235,2235,2235,2235
?,426,426,426,426,426,426,426,426,426,426
?,157,157,157,157,157,157,157,157,157,157
?,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514
?,119,119,119,119,119,119,119,119,119,119
?,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511
?,628,628,628,628,628,628,628,628,628,628
?,725,725,725,725,725,725,725,725,725,725
?,540,540,540,540,540,540,540,540,540,540
?,340,340,340,340,340,340,340,340,340,340
?,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
?,490,490,490,490,490,490,490,490,490,490
?,230,230,230,230,230,230,230,230,230,230
?,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817
?,256,256,256,256,256,256,256,256,256,256
?,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
?,400,400,400,400,400,400,400,400,400,400
?,2229,2229,2229,2229,2229,2229,2229,2229,2229,2229
?,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
?,796,796,796,796,796,796,796,796,796,796
?,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
?,69,69,69,69,69,69,69,69,69,69
?,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
?,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297
?,694,694,694,694,694,694,694,694,694,694
?,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
?,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501
?,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115
?,59,59,59,59,59,59,59,59,59,59
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
?,252,252,252,252,252,252,252,252,252,252
?,267,267,267,267,267,267,267,267,267,267
?,791,791,791,791,791,791,791,791,791,791
?,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055
?,605,605,605,605,605,605,605,605,605,605
?,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093
?,344,344,344,344,344,344,344,344,344,344
?,707,707,707,707,707,707,707,707,707,707
?,1817,1817,1817,1817,1817,1817,1817,1817,1817,1817
?,183,183,183,183,183,183,183,183,183,183
?,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129
?,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493
?,814,814,814,814,814,814,814,814,814,814
?,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071
?,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677
?,709,709,709,709,709,709,709,709,709,709
?,14,14,14,14,14,14,14,14,14,14
?,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
?,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122
?,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297
?,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437
?,483,483,483,483,483,483,483,483,483,483
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
?,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328
?,353,353,353,353,353,353,353,353,353,353
?,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320
?,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
?,362,362,362,362,362,362,362,362,362,362
?,477,477,477,477,477,477,477,477,477,477
?,371,371,371,371,371,371,371,371,371,371
?,748,748,748,748,748,748,748,748,748,748
?,354,354,354,354,354,354,354,354,354,354
?,761,761,761,761,761,761,761,761,761,761
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422
?,83,83,83,83,83,83,83,83,83,83
?,694,694,694,694,694,694,694,694,694,694
?,43,43,43,43,43,43,43,43,43,43
?,891,891,891,891,891,891,891,891,891,891
?,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
?,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
?,333,333,333,333,333,333,333,333,333,333
?,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
?,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261
?,783,783,783,783,783,783,783,783,783,783
?,544,544,544,544,544,544,544,544,544,544
?,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
?,219,219,219,219,219,219,219,219,219,219
?,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554
?,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176
?,730,730,730,730,730,730,730,730,730,730
?,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143
?,576,576,576,576,576,576,576,576,576,576
?,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315
?,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
?,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
?,926,926,926,926,926,926,926,926,926,926
?,772,772,772,772,772,772,772,772,772,772
?,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
?,817,817,817,817,817,817,817,817,817,817
?,726,726,726,726,726,726,726,726,726,726
?,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
?,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
?,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801
?,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084
?,379,379,379,379,379,379,379,379,379,379
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
?,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371
?,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
?,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429
?,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143
?,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842
?,699,699,699,699,699,699,699,699,699,699
?,151,151,151,151,151,151,151,151,151,151
?,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398
?,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
?,638,638,638,638,638,638,638,638,638,638
?,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204
?,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
?,863,863,863,863,863,863,863,863,863,863
?,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
?,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421
?,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183
?,850,850,850,850,850,850,850,850,850,850
?,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402
?,2064,2064,2064,2064,2064,2064,2064,2064,2064,2064
?,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260
?,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102
?,372,372,372,372,372,372,372,372,372,372
?,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103
?,864,864,864,864,864,864,864,864,864,864
?,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058
-,22,22,22,22,22,22,22,22,22,22
-,280,280,280,280,280,280,280,280,280,280
-,632,632,632,632,632,632,632,632,632,632
-,837,837,837,837,837,837,837,837,837,837
-,528,528,528,528,528,528,528,528,528,528
-,990,990,990,990,990,990,990,990,990,990
-,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
-,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689
-,152,152,152,152,152,152,152,152,152,152
-,41,41,41,41,41,41,41,41,41,41
-,508,508,508,508,508,508,508,508,508,508
-,26,26,26,26,26,26,26,26,26,26
-,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343
-,679,679,679,679,679,679,679,679,679,679
-,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
-,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
-,596,596,596,596,596,596,596,596,596,596
-,284,284,284,284,284,284,284,284,284,284
-,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
-,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
-,72,72,72,72,72,72,72,72,72,72
-,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753
-,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484
-,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
-,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
-,314,314,314,314,314,314,314,314,314,314
-,379,379,379,379,379,379,379,379,379,379
-,604,604,604,604,604,604,604,604,604,604
-,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435
-,845,845,845,845,845,845,845,845,845,845
-,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541
-,62,62,62,62,62,62,62,62,62,62
-,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
-,680,680,680,680,680,680,680,680,680,680
-,794,794,794,794,794,794,794,794,794,794
-,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376
-,203,203,203,203,203,203,203,203,203,203
-,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265
-,132,132,132,132,132,132,132,132,132,132
-,524,524,524,524,524,524,524,524,524,524
-,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948
-,294,294,294,294,294,294,294,294,294,294
-,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
-,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
-,107,107,107,107,107,107,107,107,107,107
-,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716
-,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663
-,700,700,700,700,700,700,700,700,700,700
-,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968
-,654,654,654,654,654,654,654,654,654,654
-,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
-,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
-,829,829,829,829,829,829,829,829,829,829
-,572,572,572,572,572,572,572,572,572,572
-,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
-,242,242,242,242,242,242,242,242,242,242
+,540,957,871,35,765,927,818,394,647,49
+,1298,202,186,14,146,649,34,855,813,243
+,1407,406,330,11,585,492,495,878,352,192
+,416,890,836,994,591,415,462,219,464,636
+,702,558,450,120,762,286,671,786,526,946
+,1469,345,913,190,261,349,826,892,499,790
+,431,467,679,98,684,876,350,781,531,269
+,1238,800,374,436,657,26,987,556,129,96
+,577,998,468,849,113,123,563,729,302,129
+,557,355,314,463,446,566,962,84,989,887
+,1953,516,186,407,839,963,906,523,199,145
+,1815,696,227,794,17,203,751,762,362,538
+,1520,798,155,576,880,543,537,48,819,545
+,219,552,235,710,969,543,170,383,162,102
+,236,169,650,649,879,633,231,863,952,769
+,1941,155,553,964,978,624,434,878,207,285
+,275,982,992,971,410,303,399,922,534,995
+,212,915,487,479,329,139,738,960,307,0
+,1358,257,725,569,684,319,213,945,751,627
+,613,982,68,60,773,420,143,147,492,842
+,1135,782,995,826,999,973,248,400,805,163
+,1367,429,400,605,198,254,854,358,72,231
+,16,971,282,143,914,411,126,743,757,599
+,1817,688,155,210,454,145,688,282,778,335
+,1339,652,120,533,318,536,105,790,643,612
+,1252,237,676,448,305,841,127,554,760,624
+,619,157,72,901,772,932,737,349,896,278
+,1440,41,390,858,912,261,115,641,477,436
+,1112,172,897,726,708,886,813,498,776,298
+,1727,535,105,90,749,617,982,613,885,371
+,1799,890,870,680,506,856,718,986,442,431
+,583,653,107,885,788,286,862,741,750,282
+,756,257,655,520,336,429,682,856,257,365
+,500,13,103,730,825,497,248,599,506,226
+,1597,444,681,272,106,799,846,725,499,574
+,714,857,579,384,621,531,891,947,683,391
+,271,616,110,604,858,812,658,976,100,589
+,1571,120,989,782,244,369,594,688,726,925
+,1036,431,834,403,735,762,40,355,662,807
+,436,872,471,587,884,535,38,962,408,832
+,1101,643,762,796,442,685,929,26,221,580
+,150,24,645,968,336,101,299,942,422,821
+,204,746,467,869,912,259,367,838,699,352
+,1153,996,988,254,283,456,802,48,332,469
+,1272,650,269,787,812,164,214,571,789,884
+,938,663,329,758,410,771,356,799,835,176
+,19,511,877,91,341,360,631,551,757,824
+,148,989,233,324,848,313,103,936,739,92
+,1539,415,320,636,509,654,190,774,391,207
+,1578,876,724,497,359,345,825,448,917,370
+,936,163,982,172,330,16,114,194,595,317
+,614,518,717,657,573,303,774,573,551,182
+,1321,633,712,77,203,95,92,728,612,936
+,1730,679,414,872,269,149,733,348,545,362
+,268,136,943,394,106,865,979,753,834,897
+,1857,817,300,628,583,994,84,331,230,453
+,1632,41,251,561,158,683,280,26,506,229
+,488,711,224,251,896,231,450,663,831,221
+,643,12,303,249,987,21,878,626,494,858
+,1972,424,569,564,581,196,422,190,868,531
+,1371,409,642,589,909,923,396,764,267,723
+,418,372,822,820,269,441,379,373,921,947
+,534,240,327,553,365,78,981,709,137,329
+,647,847,719,252,814,551,592,131,98,939
+,1070,519,725,487,548,321,107,826,846,618
+,1157,737,356,734,718,660,999,567,840,229
+,1841,275,588,856,54,471,633,448,509,605
+,1346,66,976,175,22,573,459,572,665,58
+,858,355,488,888,723,151,65,698,362,66
+,167,736,282,583,258,970,918,745,28,730
+,1268,502,441,721,782,965,136,405,220,677
+,81,317,551,713,690,311,338,238,583,817
+,1217,520,968,416,147,784,552,697,600,322
+,1185,6,994,624,54,729,772,366,601,122
+,504,1000,72,628,65,542,423,747,165,750
+,1166,254,615,792,777,183,855,185,30,664
+,245,506,746,122,339,91,96,968,413,587
+,826,971,701,396,824,417,390,713,485,141
+,481,351,187,98,318,363,181,724,440,900
+,1382,511,92,188,266,411,205,232,359,662
+,139,83,347,462,769,96,536,263,20,900
+,1218,62,570,60,699,382,97,172,1,986
+,140,12,4,334,393,313,28,819,926,581
+,380,383,879,71,978,176,193,651,635,510
+,164,548,223,999,353,99,893,699,934,158
+,1040,383,587,181,912,451,723,866,900,790
+,116,519,152,833,838,455,31,637,39,957
+,322,909,981,812,963,123,826,956,319,957
+,1087,110,357,699,184,604,530,171,921,102
+,1029,197,617,158,627,942,345,960,465,950
+,976,561,851,398,802,458,966,119,684,567
+,1196,346,252,374,144,245,983,837,502,192
+,102,413,42,366,60,938,943,491,830,863
+,117,675,724,772,859,605,101,868,532,93
+,642,670,328,933,539,576,588,719,544,534
+,1531,775,559,658,205,289,328,138,458,781
+,1754,299,966,641,436,413,445,386,84,502
+,1110,503,106,329,574,495,624,398,313,509
+,1506,789,294,789,700,715,56,540,851,42
+,1186,969,91,314,913,601,765,921,584,555
+,119,656,321,756,49,547,28,48,989,310
+,445,192,360,987,550,53,843,845,700,894
+,607,756,520,536,869,182,520,379,697,715
+,388,932,219,101,468,972,190,913,226,729
+,317,74,731,208,507,211,584,655,627,15
+,996,944,390,210,921,705,119,946,297,4
+,1471,246,675,833,937,851,338,181,399,846
+,1355,380,939,857,411,45,159,145,613,252
+,1138,684,264,903,944,432,696,584,727,884
+,1604,641,317,209,962,899,669,754,935,279
+,1496,706,10,425,843,423,386,284,862,922
+,1426,836,797,499,259,614,10,641,709,404
+,1740,712,785,459,131,678,706,228,72,652
+,584,118,162,923,810,500,68,187,549,335
+,931,966,757,262,978,697,732,952,711,407
+,1607,549,293,291,876,583,267,111,779,122
+,1605,842,906,905,206,973,88,568,866,509
+,543,130,530,36,480,490,111,114,234,38
+,799,397,188,85,780,710,825,69,247,446
+,4,379,448,756,146,452,611,787,42,678
+,776,515,785,997,193,786,215,742,325,44
+,337,14,971,156,349,880,973,256,943,179
+,1709,473,205,923,659,57,400,389,156,969
+,1868,517,65,230,188,642,199,343,673,738
+,437,25,892,451,71,863,251,616,541,294
+,985,164,146,560,987,325,58,114,701,66
+,1699,530,547,17,633,737,173,741,955,329
+,832,39,146,923,106,700,239,6,390,3
+,340,59,833,396,787,580,122,877,229,780
+,484,36,577,558,75,20,664,843,932,487
+,1543,585,660,395,289,702,630,396,460,932
+,1980,243,699,502,627,256,353,651,465,490
+,30,920,156,465,549,900,368,229,147,293
+,1107,748,178,986,990,397,263,903,164,376
+,1335,21,442,824,307,147,43,470,420,727
+,103,554,872,232,411,128,860,641,361,213
+,200,415,431,904,427,471,751,463,454,975
+,1127,474,372,345,333,681,408,136,740,542
+,907,251,222,729,195,582,199,970,894,746
